Date,20E_x,70E_x,80E_x,100E_x,120E_x,140E_x,160E_x,120W_x,40W_x,10W_x,Year_x,Month_x,Value_x,PosibleNino_x,PosibleNina_x,Precipitaciones_x,Temperaturas_x,Humedades_x,20E_y,70E_y,80E_y,100E_y,120E_y,140E_y,160E_y,120W_y,40W_y,10W_y,Year_y,Month_y,Value_y,PosibleNino_y,PosibleNina_y,Precipitaciones_y,Temperaturas_y,Humedades_y,Name,AporCaudal,ENOS
2000-01-01,-0.36,-0.69,-0.74,-0.3,-0.28,0.2,0.57,0.79,0.61,0.09,2000.0,1.0,-1.7,0.0,0.0,0.0,23.6,96.0,-0.36,-0.69,-0.74,-0.3,-0.28,0.2,0.57,0.79,0.61,0.09,2000.0,1.0,-1.7,0.0,0.0,0.0,23.6,96.0,NARE,43.51,False
2000-01-02,-0.36,-0.69,-0.74,-0.3,-0.28,0.2,0.57,0.79,0.61,0.09,2000.0,1.0,-1.7,0.0,0.0,0.0,26.7,95.0,-0.36,-0.69,-0.74,-0.3,-0.28,0.2,0.57,0.79,0.61,0.09,2000.0,1.0,-1.7,0.0,0.0,0.0,26.7,95.0,NARE,43.67,False
2000-01-03,-0.36,-0.69,-0.74,-0.3,-0.28,0.2,0.57,0.79,0.61,0.09,2000.0,1.0,-1.7,0.0,0.0,0.0,24.0,96.0,-0.36,-0.69,-0.74,-0.3,-0.28,0.2,0.57,0.79,0.61,0.09,2000.0,1.0,-1.7,0.0,0.0,0.0,24.0,96.0,NARE,41.21,False
2000-01-04,0.82,0.31,-0.53,-1.02,-1.06,-0.94,-0.57,0.06,0.83,1.05,2000.0,1.0,-1.7,0.0,0.0,4.6,22.4,98.0,0.82,0.31,-0.53,-1.02,-1.06,-0.94,-0.57,0.06,0.83,1.05,2000.0,1.0,-1.7,0.0,0.0,4.6,22.4,98.0,NARE,43.8,False
2000-01-05,0.82,0.31,-0.53,-1.02,-1.06,-0.94,-0.57,0.06,0.83,1.05,2000.0,1.0,-1.7,0.0,1.0,0.0,21.0,98.0,0.82,0.31,-0.53,-1.02,-1.06,-0.94,-0.57,0.06,0.83,1.05,2000.0,1.0,-1.7,0.0,1.0,0.0,21.0,98.0,NARE,40.62,False
2000-01-06,0.82,0.31,-0.53,-1.02,-1.06,-0.94,-0.57,0.06,0.83,1.05,2000.0,1.0,-1.7,0.0,1.0,0.0,21.0,97.0,0.82,0.31,-0.53,-1.02,-1.06,-0.94,-0.57,0.06,0.83,1.05,2000.0,1.0,-1.7,0.0,1.0,0.0,21.0,97.0,NARE,45.39,False
2000-01-07,0.82,0.31,-0.53,-1.02,-1.06,-0.94,-0.57,0.06,0.83,1.05,2000.0,1.0,-1.7,0.0,1.0,2.6,22.0,94.0,0.82,0.31,-0.53,-1.02,-1.06,-0.94,-0.57,0.06,0.83,1.05,2000.0,1.0,-1.7,0.0,1.0,2.6,22.0,94.0,NARE,40.31,False
2000-01-08,0.82,0.31,-0.53,-1.02,-1.06,-0.94,-0.57,0.06,0.83,1.05,2000.0,1.0,-1.7,0.0,1.0,0.0,25.7,96.0,0.82,0.31,-0.53,-1.02,-1.06,-0.94,-0.57,0.06,0.83,1.05,2000.0,1.0,-1.7,0.0,1.0,0.0,25.7,96.0,NARE,53.62,False
2000-01-09,1.15,0.9,0.1,-0.79,-0.95,-1.15,-1.04,-0.55,0.38,1.02,2000.0,1.0,-1.7,0.0,1.0,0.0,25.2,95.5,1.15,0.9,0.1,-0.79,-0.95,-1.15,-1.04,-0.55,0.38,1.02,2000.0,1.0,-1.7,0.0,1.0,0.0,25.2,95.5,NARE,52.27,False
2000-01-10,1.15,0.9,0.1,-0.79,-0.95,-1.15,-1.04,-0.55,0.38,1.02,2000.0,1.0,-1.7,0.0,1.0,0.0,25.0,96.0,1.15,0.9,0.1,-0.79,-0.95,-1.15,-1.04,-0.55,0.38,1.02,2000.0,1.0,-1.7,0.0,1.0,0.0,25.0,96.0,NARE,42.82,False
