Date,20E,70E,80E,100E,120E,140E,160E,120W,40W,10W,Year,Month,Value,PosibleNino,PosibleNina,Precipitaciones,Temperaturas,Humedades,Name,AporCaudal
2023-09-01,-0.32,-0.87,-0.7,-0.74,-0.55,-0.09,0.55,0.85,0.77,0.42,2023,9,1.6,1,0,15.6,27.0,96.0,NARE CP,9.801
2023-09-02,-0.32,-0.87,-0.7,-0.74,-0.55,-0.09,0.55,0.85,0.77,0.42,2023,9,1.6,1,0,7.6,22.6,98.0,NARE CP,10.446
2023-09-03,-0.32,-0.87,-0.7,-0.74,-0.55,-0.09,0.55,0.85,0.77,0.42,2023,9,1.6,1,0,15.4,25.2,94.0,NARE CP,10.564
2023-09-04,-0.32,-0.87,-0.7,-0.74,-0.55,-0.09,0.55,0.85,0.77,0.42,2023,9,1.6,1,0,0.0,25.0,95.0,NARE CP,17.857
2023-09-05,-0.32,-0.87,-0.7,-0.74,-0.55,-0.09,0.55,0.85,0.77,0.42,2023,9,1.6,1,0,0.0,26.6,98.0,NARE CP,11.252
2023-09-06,0.54,-0.79,-0.98,-1.49,-1.57,-1.12,0.1,1.17,1.58,1.48,2023,9,1.6,1,0,0.0,26.8,98.0,NARE CP,9.749
2023-09-07,0.54,-0.79,-0.98,-1.49,-1.57,-1.12,0.1,1.17,1.58,1.48,2023,9,1.6,1,0,1.4,26.4,92.0,NARE CP,9.084
2023-09-08,0.54,-0.79,-0.98,-1.49,-1.57,-1.12,0.1,1.17,1.58,1.48,2023,9,1.6,1,0,5.4,25.0,97.0,NARE CP,8.714
2023-09-09,0.54,-0.79,-0.98,-1.49,-1.57,-1.12,0.1,1.17,1.58,1.48,2023,9,1.6,1,0,16.8,25.8,98.0,NARE CP,8.763
2023-09-10,0.54,-0.79,-0.98,-1.49,-1.57,-1.12,0.1,1.17,1.58,1.48,2023,9,1.6,1,0,112.6,25.0,98.0,NARE CP,10.706
2023-09-11,1.02,0.74,0.74,0.11,-0.46,-0.95,-1.03,-0.51,0.08,0.65,2023,9,1.6,1,0,76.8,25.8,98.0,NARE CP,20.856
2023-09-12,1.02,0.74,0.74,0.11,-0.46,-0.95,-1.03,-0.51,0.08,0.65,2023,9,1.6,1,0,24.4,25.4,98.0,NARE CP,12.27
2023-09-13,1.02,0.74,0.74,0.11,-0.46,-0.95,-1.03,-0.51,0.08,0.65,2023,9,1.6,1,0,10.6,25.2,94.0,NARE CP,11.914
2023-09-14,1.02,0.74,0.74,0.11,-0.46,-0.95,-1.03,-0.51,0.08,0.65,2023,9,1.6,1,0,1.6,26.0,98.0,NARE CP,13.507
2023-09-15,1.02,0.74,0.74,0.11,-0.46,-0.95,-1.03,-0.51,0.08,0.65,2023,9,1.6,1,0,0.0,25.6,98.0,NARE CP,10.884
2023-09-16,-0.06,-0.47,-0.42,-0.53,-0.47,-0.21,0.25,0.54,0.57,0.39,2023,9,1.6,1,0,10.6,26.2,98.0,NARE CP,9.837
2023-09-17,-0.06,-0.47,-0.42,-0.53,-0.47,-0.21,0.25,0.54,0.57,0.39,2023,9,1.6,1,0,0.0,24.4,96.0,NARE CP,11.778
2023-09-18,-0.06,-0.47,-0.42,-0.53,-0.47,-0.21,0.25,0.54,0.57,0.39,2023,9,1.6,1,0,4.0,26.2,94.0,NARE CP,10.314
2023-09-19,-0.06,-0.47,-0.42,-0.53,-0.47,-0.21,0.25,0.54,0.57,0.39,2023,9,1.6,1,0,0.0,25.8,96.0,NARE CP,9.384
2023-09-20,-0.06,-0.47,-0.42,-0.53,-0.47,-0.21,0.25,0.54,0.57,0.39,2023,9,1.6,1,0,0.0,26.0,98.0,NARE CP,8.987
2023-09-21,0.23,-0.91,-0.88,-1.32,-1.34,-0.86,0.25,1.15,1.43,1.21,2023,9,1.6,1,0,0.0,26.4,98.0,NARE CP,8.591
2023-09-22,0.23,-0.91,-0.88,-1.32,-1.34,-0.86,0.25,1.15,1.43,1.21,2023,9,1.6,1,0,4.6,27.2,98.0,NARE CP,9.218
2023-09-23,0.23,-0.91,-0.88,-1.32,-1.34,-0.86,0.25,1.15,1.43,1.21,2023,9,1.6,1,0,8.0,26.2,94.0,NARE CP,11.591
2023-09-24,0.23,-0.91,-0.88,-1.32,-1.34,-0.86,0.25,1.15,1.43,1.21,2023,9,1.6,1,0,0.0,25.6,96.0,NARE CP,9.036
2023-09-25,0.23,-0.91,-0.88,-1.32,-1.34,-0.86,0.25,1.15,1.43,1.21,2023,9,1.6,1,0,15.4,26.8,98.0,NARE CP,9.024
2023-09-26,0.85,0.02,0.08,-0.6,-1.04,-1.15,-0.62,0.24,0.83,1.13,2023,9,1.6,1,0,0.0,25.0,98.0,NARE CP,9.274
2023-09-27,0.85,0.02,0.08,-0.6,-1.04,-1.15,-0.62,0.24,0.83,1.13,2023,9,1.6,1,0,3.4,26.0,98.0,NARE CP,8.659
2023-09-28,0.85,0.02,0.08,-0.6,-1.04,-1.15,-0.62,0.24,0.83,1.13,2023,9,1.6,1,0,44.6,25.8,98.0,NARE CP,8.258
2023-09-29,0.85,0.02,0.08,-0.6,-1.04,-1.15,-0.62,0.24,0.83,1.13,2023,9,1.6,1,0,5.8,25.4,98.0,NARE CP,8.951
2023-09-30,0.85,0.02,0.08,-0.6,-1.04,-1.15,-0.62,0.24,0.83,1.13,2023,9,1.6,1,0,25.0,27.0,96.43,NARE CP,9.031
2023-10-01,1.47,2.37,2.24,1.75,0.82,-0.61,-2.08,-2.26,-1.58,-0.34,2023,10,1.8,1,0,5.8,26.0,96.0,NARE CP,12.841
2023-10-02,1.47,2.37,2.24,1.75,0.82,-0.61,-2.08,-2.26,-1.58,-0.34,2023,10,1.8,1,0,14.8,25.8,98.0,NARE CP,10.51
2023-10-03,1.47,2.37,2.24,1.75,0.82,-0.61,-2.08,-2.26,-1.58,-0.34,2023,10,1.8,1,0,13.6,25.6,91.0,NARE CP,10.516
2023-10-04,1.47,2.37,2.24,1.75,0.82,-0.61,-2.08,-2.26,-1.58,-0.34,2023,10,1.8,1,0,25.6,24.0,98.0,NARE CP,13.917
2023-10-05,1.47,2.37,2.24,1.75,0.82,-0.61,-2.08,-2.26,-1.58,-0.34,2023,10,1.8,1,0,11.6,24.8,97.0,NARE CP,17.833
2023-10-06,-0.93,-0.1,0.46,0.81,1.01,0.97,0.4,-0.34,-0.81,-1.09,2023,10,1.8,1,0,55.4,25.0,96.0,NARE CP,14.43
2023-10-07,-0.93,-0.1,0.46,0.81,1.01,0.97,0.4,-0.34,-0.81,-1.09,2023,10,1.8,1,0,26.2,26.2,96.0,NARE CP,17.252
2023-10-08,-0.93,-0.1,0.46,0.81,1.01,0.97,0.4,-0.34,-0.81,-1.09,2023,10,1.8,1,0,2.4,25.6,98.0,NARE CP,33.019
2023-10-09,-0.93,-0.1,0.46,0.81,1.01,0.97,0.4,-0.34,-0.81,-1.09,2023,10,1.8,1,0,3.2,26.4,96.0,NARE CP,15.803
2023-10-10,-0.93,-0.1,0.46,0.81,1.01,0.97,0.4,-0.34,-0.81,-1.09,2023,10,1.8,1,0,2.2,25.0,98.0,NARE CP,12.31
2023-10-11,0.21,0.71,0.91,0.83,0.57,0.09,-0.55,-0.81,-0.72,-0.4,2023,10,1.8,1,0,0.0,25.4,98.0,NARE CP,11.252
2023-10-12,0.21,0.71,0.91,0.83,0.57,0.09,-0.55,-0.81,-0.72,-0.4,2023,10,1.8,1,0,4.0,26.2,98.0,NARE CP,10.494
2023-10-13,0.21,0.71,0.91,0.83,0.57,0.09,-0.55,-0.81,-0.72,-0.4,2023,10,1.8,1,0,20.6,26.6,89.0,NARE CP,12.113
2023-10-14,0.21,0.71,0.91,0.83,0.57,0.09,-0.55,-0.81,-0.72,-0.4,2023,10,1.8,1,0,0.0,25.0,90.0,NARE CP,12.711
2023-10-15,0.21,0.71,0.91,0.83,0.57,0.09,-0.55,-0.81,-0.72,-0.4,2023,10,1.8,1,0,15.6,26.2,98.0,NARE CP,10.905
2023-10-16,-0.32,-0.01,0.26,0.36,0.4,0.36,0.12,-0.16,-0.32,-0.4,2023,10,1.8,1,0,1.6,24.4,98.0,NARE CP,10.627
2023-10-17,-0.32,-0.01,0.26,0.36,0.4,0.36,0.12,-0.16,-0.32,-0.4,2023,10,1.8,1,0,0.0,25.6,98.0,NARE CP,9.883
2023-10-18,-0.32,-0.01,0.26,0.36,0.4,0.36,0.12,-0.16,-0.32,-0.4,2023,10,1.8,1,0,6.8,25.0,98.0,NARE CP,9.529
2023-10-19,-0.32,-0.01,0.26,0.36,0.4,0.36,0.12,-0.16,-0.32,-0.4,2023,10,1.8,1,0,0.0,26.0,98.0,NARE CP,10.057
2023-10-20,-0.32,-0.01,0.26,0.36,0.4,0.36,0.12,-0.16,-0.32,-0.4,2023,10,1.8,1,0,8.6,22.8,98.0,NARE CP,9.295
2023-10-21,0.17,0.68,0.84,0.81,0.59,0.15,-0.48,-0.76,-0.7,-0.41,2023,10,1.8,1,0,4.8,23.2,96.0,NARE CP,10.267
2023-10-22,0.17,0.68,0.84,0.81,0.59,0.15,-0.48,-0.76,-0.7,-0.41,2023,10,1.8,1,0,18.2,25.49,96.0,NARE CP,11.094
2023-10-23,0.17,0.68,0.84,0.81,0.59,0.15,-0.48,-0.76,-0.7,-0.41,2023,10,1.8,1,0,38.6,26.4,98.0,NARE CP,11.721
2023-10-24,0.17,0.68,0.84,0.81,0.59,0.15,-0.48,-0.76,-0.7,-0.41,2023,10,1.8,1,0,8.6,26.2,96.0,NARE CP,19.312
2023-10-25,0.17,0.68,0.84,0.81,0.59,0.15,-0.48,-0.76,-0.7,-0.41,2023,10,1.8,1,0,24.6,24.0,98.0,NARE CP,13.927
2023-10-26,-0.73,0.73,1.15,1.7,1.79,1.31,-0.01,-1.21,-1.7,-1.66,2023,10,1.8,1,0,21.4,24.4,98.0,NARE CP,15.753
2023-10-27,-0.73,0.73,1.15,1.7,1.79,1.31,-0.01,-1.21,-1.7,-1.66,2023,10,1.8,1,0,6.8,23.0,98.0,NARE CP,16.912
2023-10-28,-0.73,0.73,1.15,1.7,1.79,1.31,-0.01,-1.21,-1.7,-1.66,2023,10,1.8,1,0,0.0,24.0,98.0,NARE CP,12.01
2023-10-29,-0.73,0.73,1.15,1.7,1.79,1.31,-0.01,-1.21,-1.7,-1.66,2023,10,1.8,1,0,26.4,24.4,98.0,NARE CP,14.034
2023-10-30,-0.73,0.73,1.15,1.7,1.79,1.31,-0.01,-1.21,-1.7,-1.66,2023,10,1.8,1,0,48.6,25.0,98.0,NARE CP,27.375
2023-10-31,-0.8,-0.7,-0.25,-0.07,0.2,0.55,0.71,0.48,0.11,-0.34,2023,10,1.8,1,0,1.8,25.4,98.0,NARE CP,26.618
2023-11-01,-0.8,-0.7,-0.25,-0.07,0.2,0.55,0.71,0.48,0.11,-0.34,2023,11,1.9,1,0,15.6,23.0,91.0,NARE CP,42.561
2023-11-02,-0.8,-0.7,-0.25,-0.07,0.2,0.55,0.71,0.48,0.11,-0.34,2023,11,1.9,1,0,19.0,26.0,98.0,NARE CP,39.564
2023-11-03,-0.8,-0.7,-0.25,-0.07,0.2,0.55,0.71,0.48,0.11,-0.34,2023,11,1.9,1,0,52.6,24.0,98.0,NARE CP,29.029
2023-11-04,-0.8,-0.7,-0.25,-0.07,0.2,0.55,0.71,0.48,0.11,-0.34,2023,11,1.9,1,0,0.0,24.4,98.0,NARE CP,23.239
2023-11-05,0.57,0.16,0.2,-0.21,-0.51,-0.66,-0.44,0.03,0.39,0.63,2023,11,1.9,1,0,16.8,26.0,96.0,NARE CP,20.162
2023-11-06,0.57,0.16,0.2,-0.21,-0.51,-0.66,-0.44,0.03,0.39,0.63,2023,11,1.9,1,0,5.2,23.6,98.0,NARE CP,18.717
2023-11-07,0.57,0.16,0.2,-0.21,-0.51,-0.66,-0.44,0.03,0.39,0.63,2023,11,1.9,1,0,0.0,24.6,96.0,NARE CP,18.466
2023-11-08,0.57,0.16,0.2,-0.21,-0.51,-0.66,-0.44,0.03,0.39,0.63,2023,11,1.9,1,0,9.2,26.2,96.0,NARE CP,15.715
2023-11-09,0.57,0.16,0.2,-0.21,-0.51,-0.66,-0.44,0.03,0.39,0.63,2023,11,1.9,1,0,20.6,26.8,98.0,NARE CP,14.23
2023-11-10,1.44,0.62,0.63,-0.38,-1.16,-1.64,-1.29,-0.22,0.69,1.36,2023,11,1.9,1,0,7.8,25.2,98.0,NARE CP,13.266
2023-11-11,1.44,0.62,0.63,-0.38,-1.16,-1.64,-1.29,-0.22,0.69,1.36,2023,11,1.9,1,0,58.6,26.6,94.0,NARE CP,12.786
2023-11-12,1.44,0.62,0.63,-0.38,-1.16,-1.64,-1.29,-0.22,0.69,1.36,2023,11,1.9,1,0,2.2,24.2,98.0,NARE CP,12.899
2023-11-13,1.44,0.62,0.63,-0.38,-1.16,-1.64,-1.29,-0.22,0.69,1.36,2023,11,1.9,1,0,6.2,24.6,96.0,NARE CP,11.993
2023-11-14,1.44,0.62,0.63,-0.38,-1.16,-1.64,-1.29,-0.22,0.69,1.36,2023,11,1.9,1,0,9.0,26.6,94.0,NARE CP,11.501
2023-11-15,-0.39,1.38,1.65,2.17,2.08,1.24,-0.53,-1.87,-2.23,-1.87,2023,11,1.9,1,0,14.6,23.2,96.0,NARE CP,14.398
2023-11-16,-0.39,1.38,1.65,2.17,2.08,1.24,-0.53,-1.87,-2.23,-1.87,2023,11,1.9,1,0,58.6,26.0,98.0,NARE CP,17.04
2023-11-17,-0.39,1.38,1.65,2.17,2.08,1.24,-0.53,-1.87,-2.23,-1.87,2023,11,1.9,1,0,19.2,25.4,98.0,NARE CP,14.523
2023-11-18,-0.39,1.38,1.65,2.17,2.08,1.24,-0.53,-1.87,-2.23,-1.87,2023,11,1.9,1,0,6.0,23.8,98.0,NARE CP,27.531
2023-11-19,-0.39,1.38,1.65,2.17,2.08,1.24,-0.53,-1.87,-2.23,-1.87,2023,11,1.9,1,0,17.4,24.0,98.0,NARE CP,23.806
2023-11-20,-2.27,-1.21,-0.67,0.51,1.5,2.21,1.85,0.47,-0.79,-1.85,2023,11,1.9,1,0,5.4,22.6,98.0,NARE CP,24.283
2023-11-21,-2.27,-1.21,-0.67,0.51,1.5,2.21,1.85,0.47,-0.79,-1.85,2023,11,1.9,1,0,7.2,24.8,94.0,NARE CP,17.846
2023-11-22,-2.27,-1.21,-0.67,0.51,1.5,2.21,1.85,0.47,-0.79,-1.85,2023,11,1.9,1,0,1.0,24.6,95.0,NARE CP,14.955
